topic,question,difficulty,answer_1,answer_2,answer_3,answer_4,correct
Data Structures,Which data structure uses FIFO (First-In-First-Out) ordering?,easy,Stack,Queue,Heap,Tree,Queue
Data Structures,What is the time complexity of accessing an element in an array by index?,easy,O(n),O(log n),O(1),O(n^2),O(1)
Data Structures,Which data structure uses LIFO (Last-In-First-Out) ordering?,easy,Queue,Stack,Array,Linked List,Stack
Data Structures,What is the main advantage of a linked list over an array?,easy,Faster access,Dynamic size,Less memory,Sorted data,Dynamic size
Data Structures,In which data structure are elements stored in contiguous memory locations?,easy,Linked List,Stack,Array,Tree,Array
Data Structures,What is the time complexity of searching in a binary search tree (average case)?,medium,O(n),O(log n),O(1),O(n^2),O(log n)
Data Structures,Which operation is NOT typically supported by a stack?,medium,Push,Pop,Peek,Random access,Random access
Data Structures,What is the worst-case time complexity of inserting an element in a hash table?,medium,O(1),O(log n),O(n),O(n^2),O(n)
Data Structures,Which data structure is best for implementing recursion?,medium,Array,Queue,Stack,Heap,Stack
Data Structures,What is the space complexity of a binary search tree with n nodes?,medium,O(1),O(log n),O(n),O(n^2),O(n)
Data Structures,In a doubly linked list what does each node contain?,medium,Data only,Data and one pointer,Data and two pointers,Only pointers,Data and two pointers
Data Structures,What is the main disadvantage of using arrays?,medium,Slow access,Dynamic size,Fixed size,Complex implementation,Fixed size
Data Structures,Which sorting algorithm uses a heap data structure?,medium,Quick Sort,Merge Sort,Heap Sort,Bubble Sort,Heap Sort
Data Structures,What is the time complexity of finding the minimum element in a min-heap?,medium,O(n),O(log n),O(1),O(n^2),O(1)
Data Structures,Which data structure allows insertion and deletion at both ends?,medium,Stack,Queue,Array,Deque,Deque
Data Structures,What is the height of a complete binary tree with n nodes?,hard,O(n),O(log n),O(1),O(n^2),O(log n)
Data Structures,Which balancing technique is used in AVL trees?,hard,Rotation,Rehashing,Splitting,Color coding,Rotation
Data Structures,What is the worst-case time complexity for search in a hash table with chaining?,hard,O(1),O(log n),O(n),O(n^2),O(n)
Data Structures,In a B-tree of order m what is the maximum number of children a node can have?,hard,m,m-1,m+1,2m,m
Data Structures,What is the space complexity of merge sort?,hard,O(1),O(log n),O(n),O(n^2),O(n)
Data Structures,Which data structure is used to implement Dijkstra's algorithm efficiently?,hard,Stack,Queue,Priority Queue,Array,Priority Queue
Data Structures,What is the amortized time complexity of dynamic array resizing?,hard,O(1),O(log n),O(n),O(n^2),O(1)
Data Structures,In a red-black tree what is the maximum height?,hard,log n,2 log n,n,n^2,2 log n
Data Structures,What is the time complexity of building a heap from an unsorted array?,hard,O(n log n),O(n^2),O(n),O(log n),O(n)
